Job Name,# Interviews,Applied,Closed date,Closed date (manual),Closed?,Company,Date applied,Days to 1st interview,Final status,First interview date,Follow up by phone/ email,Ghosted?,Interview bucket,Interviewed?,Interviews,Interviews count (num),Latest interview date,Link,Location,Notes,Offer outcome?,Referral,Status,Turnaround (days),Type
Clinical Research Analyst,0,Applied,19-Feb-26,,Yes,UHN (https://www.notion.so/UHN-35339ef8ca45803c80cadc18b26c5bf7?pvs=21),19-Jan-26,,Ghosted,,,Yes,No interview (0),No,,0,,https://mail.google.com/mail/u/0/?tab=rm&ogbl#label/Jobs+Applied+(2026)/FMfcgzQfBQKQKBktbgHWnSgCmqRCcGzl,,,No,,"Applied, Ghosted",31,
Clinical Research Study Assistant,0,Applied,28-Feb-26,,Yes,UHN (https://www.notion.so/UHN-35339ef8ca45803c80cadc18b26c5bf7?pvs=21),29-Jan-26,,Ghosted,,,Yes,No interview (0),No,,0,,https://mail.google.com/mail/u/0/?tab=rm&ogbl#label/Jobs+Applied+(2026)/FMfcgzQfBQLZCLMRkPxpXvdfcJpRNGzr,,,No,,"Applied, Ghosted",30,
"Clinical Associate - Vancouver, BC - Johnson & Johnson MedTech",0,Applied,26-Feb-26,,Yes,Johnson & Johnson MedTech (https://www.notion.so/Johnson-Johnson-MedTech-35339ef8ca4580819bb3caf07b0ca417?pvs=21),26-Jan-26,,Ghosted,,,Yes,No interview (0),No,,0,,https://mail.google.com/mail/u/0/?tab=rm&ogbl#label/Jobs+Applied+(2026)/FMfcgzQfBZgqSTPRFNMpTsHtjJjmFXvc,,,No,,"Applied, Ghosted",31,
Research Technician II position,0,Applied,27-Jan-26,27-Jan-26,Yes,UHN (https://www.notion.so/UHN-35339ef8ca45803c80cadc18b26c5bf7?pvs=21),20-Jan-26,,Rejected,,,No,No interview (0),No,,0,,https://mail.google.com/mail/u/0/?tab=rm&ogbl#label/Jobs+Applied+(2026)/FMfcgzQfBZhzTvrQCsLGKkCRQlWRPJvb,,,No,,"Applied, Rejected",7,
 Research Assistant - Clinical,0,Applied,27-Feb-26,,Yes,Hamilton Health Sciences (https://www.notion.so/Hamilton-Health-Sciences-35339ef8ca4580bc8ff2cf8dededc2bc?pvs=21),27-Jan-26,,Ghosted,,,Yes,No interview (0),No,,0,,https://mail.google.com/mail/u/0/?tab=rm&ogbl#label/Jobs+Applied+(2026)/FMfcgzQfBZhzfKSwKBZlJgZQdHmPddGc,,,No,,"Applied, Ghosted",31,
Research Data Manager-,0,Applied,27-Feb-26,,Yes,Hamilton Health Sciences (https://www.notion.so/Hamilton-Health-Sciences-35339ef8ca4580bc8ff2cf8dededc2bc?pvs=21),27-Jan-26,,Ghosted,,,Yes,No interview (0),No,,0,,https://mail.google.com/mail/u/0/?tab=rm&ogbl#label/Jobs+Applied+(2026)/FMfcgzQfBZhzfMjFVFNwPMlwZxCxdsWT,,,No,,"Applied, Ghosted",31,
Sales/Junior Account Manager,0,Applied,27-Mar-26,,Yes,Eurofins (https://www.notion.so/Eurofins-35339ef8ca45803c9adfd5c4469d9713?pvs=21),27-Feb-26,,Ghosted,,,Yes,No interview (0),No,,0,,https://mail.google.com/mail/u/0/?tab=rm&ogbl#label/Jobs+Applied+(2026)/FMfcgzQfCDNRFnlgffgmjdTwmJtWCkTm,,,No,,"Applied, Ghosted",28,
https://www.linkedin.com/comm/jobs/view/4377296304/?trackingId=WwymZj71SKKU5f2Syrryuw%3D%3D&refId=YfWhd6vTQx%2Bz7ezvq7DSsw%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_application_confirmation_with_nba_01%3BmM3w0FGcQrKjCiT%2Fk3QM9w%3D%3D&midToken=AQFsMP7BTMvx5A&midSig=2f2dcxUAozIY81&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body_4377296304&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body_4377296304-null-842lvl~mm5c55i3~eu-null-null&eid=842lvl-mm5c55i3-eu&otpToken=MTYwYzFlZTUxNDI3Y2NjN2IzMjQwNGVkNDExY2U1YjY4Y2NiZDg0NTkwYTg4NjYxNzljMDAyNjg0ZTUyNWFmMGY2ZDVkZjlkNGJlMmNiZjMwMmIwYWNiMDI4MTY4N2ZkODQ5YzBlMDA0OTVjNDdjMDIzOWY0OCwxLDE%3D,0,Applied,27-Mar-26,,Yes,MoCA (https://www.notion.so/MoCA-35339ef8ca4580788b0dffb6fed9fdc7?pvs=21),27-Feb-26,,Ghosted,,,Yes,No interview (0),No,,0,,,,,No,,"Applied, Ghosted",28,
Study Startup Specialist I,0,Applied,11-Mar-26,11-Mar-26,Yes,PSI CRO (https://www.notion.so/PSI-CRO-35339ef8ca45806ba07df8200e940b88?pvs=21),01-Mar-26,,Rejected,,,No,No interview (0),No,,0,,https://mail.google.com/mail/u/0/?tab=rm&ogbl#label/Jobs+Applied+(2026)/FMfcgzQfCDQkcZcKhmPdpsSxKtnXVXvX,,,No,,"Applied, Rejected",10,
Healthcare Partnerships Associate (North York/York Region),0,Applied,21-May-26,21-May-26,Yes,Layla (https://www.notion.so/Layla-35639ef8ca4580e88c6dc6eca7f5fcfa?pvs=21),05-May-26,,Rejected,,,No,No interview (0),No,,0,,https://laylacare.applytojobs.ca/outreach/46922,,,No,Chantel Santos (https://www.notion.so/Chantel-Santos-35739ef8ca458066bca5d4675fce9984?pvs=21),Rejected,16,
Account Executive ,0,Applied,05-Jun-26,,Yes,Complete Genomics (https://www.notion.so/Complete-Genomics-35639ef8ca4580bf91cef74d1c7a3c67?pvs=21),05-May-26,,Ghosted,,,Yes,No interview (0),No,,0,,https://www.linkedin.com/company/complete-genomics-inc-/,,,No,,"Applied, Ghosted",31,
Data Manager,0,Applied,15-May-26,15-May-26,Yes,Roche (https://www.notion.so/Roche-35639ef8ca4580979a25ca213e5c3866?pvs=21),13-May-26,,Position closed,,,No,No interview (0),No,,0,,https://careers.roche.com/global/en/job/ROCHGLOBAL202604110909EXTERNALENGLOBAL/Data-Manager-Clinical-contract?utm_source=linkedin&utm_medium=phenom-feeds,,,No,Janet Tang (https://www.notion.so/Janet-Tang-35639ef8ca458046b608f3907704cb75?pvs=21),Position closed,2,
Product Data Lead,4,Applied,01-Jun-26,01-Jun-26,Yes,LGC (https://www.notion.so/LGC-35739ef8ca45802bb23edd1135c392b5?pvs=21),05-May-26,8,Offer declined,13-May-26,,No,Interview (4+),Yes,"LGC — Teams interview + Excel assessment (https://www.notion.so/LGC-Teams-interview-Excel-assessment-a7091b733d414e8f85f849b55345c76a?pvs=21), LGC — Video interview (https://www.notion.so/LGC-Video-interview-d069d68413f249b188a69cbdfa08d2d8?pvs=21), LGC — HR interview (Teams) (https://www.notion.so/LGC-HR-interview-Teams-19da9e91ad8a4d849dacb55216b3ae6e?pvs=21), LGC — Onsite panel (https://www.notion.so/LGC-Onsite-panel-37073ae5ad1e4f59aa7b89ab3b49481a?pvs=21)",4,29-May-26,https://www.linkedin.com/jobs/search-results/?currentJobId=4406473849&eBP=CwEAAAGd-XovWLebOi_LnQQkvQhdCszlM5bjMDs1rbA8-JgBmVgeoJE9wLpuM2wghVGLBDtmZpa7UCEyPFblz409AiihiBqxO9q0Cg2ECks9lZi7ZbaJwS-rih5Opzdbd2PI2btu-OgMR5INVyV_mY85QunE28xtjx4-QuyYBLSNaudmeLTwMyswtLFqY1PLsFFXMOEo3CjCLUFg17Y-xIRx0ysrqUQ6EI9a7D1IKEXS1YafDADnB-yN6KV_P_UYK-R2DYnKE9UTmP1_z8OtWRYEswT27WLSDsf4GETGQj5yz_AsJcy-WQIZizgPWfmPzkv05cud8vkDkmJYicoEi0iOfKkiJpy5zyTDO-vF11jAeDCGA1PVb3k86deD4x6aEN3j_yOyoTZ5r2YQt4Wuu2KsrXb6zrZM61itVdYtU6vZfeLLXNoUDDTx1DYWQzR9Cvj3zA&refId=YBlHIz3MLn5l5kY3jyAzxA%3D%3D&trackingId=Y64tofeUi6vR7zg8Jje6iw%3D%3D&keywords=biotech&origin=SEMANTIC_SEARCH_LANDING_PAGE,Vaughn,,Yes,,"Declined, Offer",27,Hybrid
Clinical Program Associate ,2,Applied,09-Jun-26,09-Jun-26,Yes,Rapid Novor Inc (https://www.notion.so/Rapid-Novor-Inc-35339ef8ca4580309d5ddb0720999335?pvs=21),21-May-26,7,Rejected,28-May-26,,No,Interview (2),Yes,"Rapid Novor — HR screen (https://www.notion.so/Rapid-Novor-HR-screen-8d4058632ec348ba90ccccb896e964d2?pvs=21), Rapid Novor — Technical interview (https://www.notion.so/Rapid-Novor-Technical-interview-f7a587dec262441aa13374ef8c633feb?pvs=21)",2,03-Jun-26,https://workforcenow.adp.com/mascsr/applicant/mdf/recruitment/postLogin.html?cid=605d5942-e530-49b1-b1a6-e4b1db591443&ccId=19000101_000001&type=JS&lang=en_CA&jobId=567805&jobId=567805&requisitionId=9201425238198_1&params=jobId&OTP_login=true&selectedMenuKey=MyApplications,Kitchener,,No,Frank Nemeth (https://www.notion.so/Frank-Nemeth-36739ef8ca4580b68124e3aaf0e97607?pvs=21),Interview,19,In person
Inside Sales Representative,5,Applied,09-Apr-26,09-Apr-26,Yes,ITS Cooling (https://www.notion.so/ITS-Cooling-d380a0eacbf3417683886a879589aed2?pvs=21),08-Mar-26,5,Rejected,13-Mar-26,,No,Interview (4+),Yes,"ITS Cooling — Round 1 (HR screen) (https://www.notion.so/ITS-Cooling-Round-1-HR-screen-bd5f7c5ae8d240cd890e87c2d2ec31be?pvs=21), ITS Cooling — Round 2 (Virtual) (https://www.notion.so/ITS-Cooling-Round-2-Virtual-303d82fbccb0418b9a37c480562feae1?pvs=21), ITS Cooling — Round 3 (Onsite / final) (https://www.notion.so/ITS-Cooling-Round-3-Onsite-final-718eaa7decb346beb91887f20127dc48?pvs=21), ITS Cooling — Round 2 (HR screen) (https://www.notion.so/ITS-Cooling-Round-2-HR-screen-37539ef8ca4580898125c788756442de?pvs=21), ITS Cooling — Final (https://www.notion.so/ITS-Cooling-Final-37539ef8ca45804cb6edda8649a4a2ef?pvs=21)",5,17-Mar-27,,Guelph,"From email: 3 interview rounds with ITS Cooling (Innovative Thermal Solutions Inc.). Key contacts: Amie Adili (HR), Harsha Patil, Abdu Zaghlol, Ahmed Zaghlol.",No,,"Applied, Interview, Rejected",32,In person
